Epoch 1/100, Time: 0.81s, LR: 0.002500
  Train Loss: 0.6556, Train Acc: 0.7795
  Val Loss: 0.9510, Val Acc: 0.6422

Epoch 2/100, Time: 0.52s, LR: 0.002500
  Train Loss: 0.3586, Train Acc: 0.8698
  Val Loss: 0.4098, Val Acc: 0.8593

Epoch 3/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.2131, Train Acc: 0.9337
  Val Loss: 0.6864, Val Acc: 0.8180

Epoch 4/100, Time: 0.58s, LR: 0.002500
  Train Loss: 0.2361, Train Acc: 0.9248
  Val Loss: 0.3523, Val Acc: 0.9174

Epoch 5/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.1032, Train Acc: 0.9693
  Val Loss: 0.3381, Val Acc: 0.8654

Epoch 6/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.0996, Train Acc: 0.9702
  Val Loss: 0.1122, Val Acc: 0.9572

Epoch 7/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.0978, Train Acc: 0.9714
  Val Loss: 0.2261, Val Acc: 0.9343

Epoch 8/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.2306, Train Acc: 0.9334
  Val Loss: 0.8016, Val Acc: 0.8119

Epoch 9/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.1177, Train Acc: 0.9659
  Val Loss: 0.8291, Val Acc: 0.8257

Epoch 10/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.0558, Train Acc: 0.9840
  Val Loss: 0.5163, Val Acc: 0.8440

Epoch 11/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.1007, Train Acc: 0.9687
  Val Loss: 0.7581, Val Acc: 0.7982

Epoch 12/100, Time: 0.51s, LR: 0.001250
  Train Loss: 0.1574, Train Acc: 0.9542
  Val Loss: 0.8687, Val Acc: 0.7875

Epoch 13/100, Time: 0.57s, LR: 0.001250
  Train Loss: 0.0450, Train Acc: 0.9856
  Val Loss: 0.7422, Val Acc: 0.8440

Epoch 14/100, Time: 0.54s, LR: 0.001250
  Train Loss: 0.0341, Train Acc: 0.9902
  Val Loss: 0.9904, Val Acc: 0.7936

Epoch 15/100, Time: 0.50s, LR: 0.001250
  Train Loss: 0.0410, Train Acc: 0.9865
  Val Loss: 0.5269, Val Acc: 0.8609

Epoch 16/100, Time: 0.51s, LR: 0.001250
  Train Loss: 0.0200, Train Acc: 0.9929
  Val Loss: 0.5718, Val Acc: 0.8670

Epoch 17/100, Time: 0.51s, LR: 0.001250
  Train Loss: 0.0373, Train Acc: 0.9883
  Val Loss: 0.9231, Val Acc: 0.8150

Epoch 18/100, Time: 0.56s, LR: 0.000625
  Train Loss: 0.0186, Train Acc: 0.9948
  Val Loss: 0.8271, Val Acc: 0.8394

Epoch 19/100, Time: 0.55s, LR: 0.000625
  Train Loss: 0.0161, Train Acc: 0.9954
  Val Loss: 0.7927, Val Acc: 0.8364

Epoch 20/100, Time: 0.54s, LR: 0.000625
  Train Loss: 0.0164, Train Acc: 0.9932
  Val Loss: 0.6909, Val Acc: 0.8639

Epoch 21/100, Time: 0.56s, LR: 0.000625
  Train Loss: 0.0094, Train Acc: 0.9975
  Val Loss: 0.6613, Val Acc: 0.8593

