Epoch 1/100, Time: 0.95s, LR: 0.020000
  Train Loss: 0.8191, Train Acc: 0.6883
  Val Loss: 1.1871, Val Acc: 0.7110

Epoch 2/100, Time: 0.58s, LR: 0.020000
  Train Loss: 0.5936, Train Acc: 0.7826
  Val Loss: 0.5843, Val Acc: 0.7722

Epoch 3/100, Time: 0.57s, LR: 0.020000
  Train Loss: 0.5646, Train Acc: 0.7819
  Val Loss: 0.6243, Val Acc: 0.7401

Epoch 4/100, Time: 0.55s, LR: 0.020000
  Train Loss: 0.4834, Train Acc: 0.8093
  Val Loss: 1.0027, Val Acc: 0.7141

Epoch 5/100, Time: 0.58s, LR: 0.020000
  Train Loss: 0.3955, Train Acc: 0.8369
  Val Loss: 0.6637, Val Acc: 0.7691

Epoch 6/100, Time: 0.57s, LR: 0.020000
  Train Loss: 0.2810, Train Acc: 0.8750
  Val Loss: 0.6469, Val Acc: 0.8012

Epoch 7/100, Time: 0.57s, LR: 0.020000
  Train Loss: 0.2748, Train Acc: 0.8916
  Val Loss: 1.2412, Val Acc: 0.7294

Epoch 8/100, Time: 0.54s, LR: 0.010000
  Train Loss: 0.2893, Train Acc: 0.8913
  Val Loss: 0.7455, Val Acc: 0.7706

Epoch 9/100, Time: 0.55s, LR: 0.010000
  Train Loss: 0.1987, Train Acc: 0.9287
  Val Loss: 0.6997, Val Acc: 0.7844

Epoch 10/100, Time: 0.55s, LR: 0.010000
  Train Loss: 0.1120, Train Acc: 0.9647
  Val Loss: 0.4855, Val Acc: 0.8547

Epoch 11/100, Time: 0.56s, LR: 0.010000
  Train Loss: 0.1091, Train Acc: 0.9681
  Val Loss: 0.3740, Val Acc: 0.8578

Epoch 12/100, Time: 0.54s, LR: 0.010000
  Train Loss: 0.1020, Train Acc: 0.9733
  Val Loss: 0.3454, Val Acc: 0.9083

Epoch 13/100, Time: 0.54s, LR: 0.010000
  Train Loss: 0.2922, Train Acc: 0.9315
  Val Loss: 1.8569, Val Acc: 0.6621

Epoch 14/100, Time: 0.54s, LR: 0.010000
  Train Loss: 0.4128, Train Acc: 0.8661
  Val Loss: 0.6162, Val Acc: 0.7875

Epoch 15/100, Time: 0.54s, LR: 0.010000
  Train Loss: 0.1823, Train Acc: 0.9432
  Val Loss: 0.5010, Val Acc: 0.8547

Epoch 16/100, Time: 0.54s, LR: 0.010000
  Train Loss: 0.1063, Train Acc: 0.9693
  Val Loss: 0.7148, Val Acc: 0.8440

Epoch 17/100, Time: 0.55s, LR: 0.010000
  Train Loss: 0.1098, Train Acc: 0.9674
  Val Loss: 0.6918, Val Acc: 0.8364

Epoch 18/100, Time: 0.54s, LR: 0.005000
  Train Loss: 0.1348, Train Acc: 0.9665
  Val Loss: 0.4814, Val Acc: 0.8869

Epoch 19/100, Time: 0.55s, LR: 0.005000
  Train Loss: 0.0810, Train Acc: 0.9800
  Val Loss: 0.6005, Val Acc: 0.8547

Epoch 20/100, Time: 0.55s, LR: 0.005000
  Train Loss: 0.0505, Train Acc: 0.9859
  Val Loss: 0.6771, Val Acc: 0.8410

Epoch 21/100, Time: 0.55s, LR: 0.005000
  Train Loss: 0.0461, Train Acc: 0.9883
  Val Loss: 0.7513, Val Acc: 0.8257

Epoch 22/100, Time: 0.55s, LR: 0.005000
  Train Loss: 0.1811, Train Acc: 0.9533
  Val Loss: 0.4934, Val Acc: 0.8639

Epoch 23/100, Time: 0.54s, LR: 0.005000
  Train Loss: 0.0720, Train Acc: 0.9773
  Val Loss: 0.8166, Val Acc: 0.8211

Epoch 24/100, Time: 0.55s, LR: 0.002500
  Train Loss: 0.0913, Train Acc: 0.9754
  Val Loss: 0.9439, Val Acc: 0.8058

Epoch 25/100, Time: 0.55s, LR: 0.002500
  Train Loss: 0.0568, Train Acc: 0.9816
  Val Loss: 0.7587, Val Acc: 0.8364

Epoch 26/100, Time: 0.54s, LR: 0.002500
  Train Loss: 0.0528, Train Acc: 0.9840
  Val Loss: 0.7867, Val Acc: 0.8303

Epoch 27/100, Time: 0.55s, LR: 0.002500
  Train Loss: 0.0457, Train Acc: 0.9877
  Val Loss: 0.8395, Val Acc: 0.8287

