Epoch 1/100, Time: 0.81s, LR: 0.002500
  Train Loss: 0.6355, Train Acc: 0.7789
  Val Loss: 0.9502, Val Acc: 0.6086

Epoch 2/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.3705, Train Acc: 0.8572
  Val Loss: 0.6157, Val Acc: 0.7706

Epoch 3/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.2336, Train Acc: 0.9254
  Val Loss: 1.0651, Val Acc: 0.7171

Epoch 4/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.1839, Train Acc: 0.9444
  Val Loss: 0.5884, Val Acc: 0.7920

Epoch 5/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.2044, Train Acc: 0.9352
  Val Loss: 0.5574, Val Acc: 0.8058

Epoch 6/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.0776, Train Acc: 0.9779
  Val Loss: 0.6889, Val Acc: 0.8287

Epoch 7/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.0698, Train Acc: 0.9773
  Val Loss: 0.5207, Val Acc: 0.8609

Epoch 8/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.0557, Train Acc: 0.9807
  Val Loss: 0.4053, Val Acc: 0.8884

Epoch 9/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.1121, Train Acc: 0.9653
  Val Loss: 0.7934, Val Acc: 0.7706

Epoch 10/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.0756, Train Acc: 0.9748
  Val Loss: 0.2942, Val Acc: 0.9419

Epoch 11/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.0524, Train Acc: 0.9819
  Val Loss: 0.9128, Val Acc: 0.8394

Epoch 12/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.1303, Train Acc: 0.9644
  Val Loss: 0.5794, Val Acc: 0.8578

Epoch 13/100, Time: 0.51s, LR: 0.002500
  Train Loss: 0.0551, Train Acc: 0.9843
  Val Loss: 0.5249, Val Acc: 0.8563

Epoch 14/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.0283, Train Acc: 0.9899
  Val Loss: 0.7579, Val Acc: 0.8318

Epoch 15/100, Time: 0.50s, LR: 0.002500
  Train Loss: 0.0348, Train Acc: 0.9905
  Val Loss: 0.7688, Val Acc: 0.8257

Epoch 16/100, Time: 0.50s, LR: 0.001250
  Train Loss: 0.0168, Train Acc: 0.9954
  Val Loss: 0.5974, Val Acc: 0.8853

Epoch 17/100, Time: 0.57s, LR: 0.001250
  Train Loss: 0.0206, Train Acc: 0.9920
  Val Loss: 0.5158, Val Acc: 0.8838

Epoch 18/100, Time: 0.57s, LR: 0.001250
  Train Loss: 0.0228, Train Acc: 0.9936
  Val Loss: 0.6417, Val Acc: 0.8700

Epoch 19/100, Time: 0.55s, LR: 0.001250
  Train Loss: 0.0318, Train Acc: 0.9893
  Val Loss: 0.6142, Val Acc: 0.8746

Epoch 20/100, Time: 0.55s, LR: 0.001250
  Train Loss: 0.0125, Train Acc: 0.9951
  Val Loss: 0.5923, Val Acc: 0.8716

Epoch 21/100, Time: 0.56s, LR: 0.001250
  Train Loss: 0.0132, Train Acc: 0.9951
  Val Loss: 0.4309, Val Acc: 0.9083

Epoch 22/100, Time: 0.63s, LR: 0.000625
  Train Loss: 0.0136, Train Acc: 0.9948
  Val Loss: 0.5309, Val Acc: 0.9021

Epoch 23/100, Time: 0.58s, LR: 0.000625
  Train Loss: 0.0124, Train Acc: 0.9969
  Val Loss: 0.4887, Val Acc: 0.9083

Epoch 24/100, Time: 0.61s, LR: 0.000625
  Train Loss: 0.0098, Train Acc: 0.9963
  Val Loss: 0.4373, Val Acc: 0.9083

Epoch 25/100, Time: 0.59s, LR: 0.000625
  Train Loss: 0.0060, Train Acc: 0.9985
  Val Loss: 0.4344, Val Acc: 0.9144

