Epoch 1/100, Time: 3.00s, LR: 0.002500
  Train Loss: 0.7723, Train Acc: 0.7193
  Val Loss: 0.9696, Val Acc: 0.7171

Epoch 2/100, Time: 2.68s, LR: 0.002500
  Train Loss: 0.5183, Train Acc: 0.7982
  Val Loss: 1.0670, Val Acc: 0.6743

Epoch 3/100, Time: 2.62s, LR: 0.002500
  Train Loss: 0.3844, Train Acc: 0.8517
  Val Loss: 0.6961, Val Acc: 0.8073

Epoch 4/100, Time: 2.69s, LR: 0.002500
  Train Loss: 0.2741, Train Acc: 0.9079
  Val Loss: 0.6074, Val Acc: 0.8089

Epoch 5/100, Time: 2.86s, LR: 0.002500
  Train Loss: 0.3482, Train Acc: 0.8937
  Val Loss: 0.4620, Val Acc: 0.8746

Epoch 6/100, Time: 2.97s, LR: 0.002500
  Train Loss: 0.1196, Train Acc: 0.9653
  Val Loss: 0.4618, Val Acc: 0.8563

Epoch 7/100, Time: 2.90s, LR: 0.002500
  Train Loss: 0.1540, Train Acc: 0.9536
  Val Loss: 0.8764, Val Acc: 0.8135

Epoch 8/100, Time: 2.99s, LR: 0.002500
  Train Loss: 0.1629, Train Acc: 0.9447
  Val Loss: 0.7163, Val Acc: 0.7859

Epoch 9/100, Time: 2.91s, LR: 0.002500
  Train Loss: 0.0642, Train Acc: 0.9782
  Val Loss: 0.4356, Val Acc: 0.8976

Epoch 10/100, Time: 2.84s, LR: 0.002500
  Train Loss: 0.0268, Train Acc: 0.9905
  Val Loss: 0.4009, Val Acc: 0.8884

Epoch 11/100, Time: 2.85s, LR: 0.002500
  Train Loss: 0.0213, Train Acc: 0.9929
  Val Loss: 0.3636, Val Acc: 0.9083

Epoch 12/100, Time: 2.91s, LR: 0.002500
  Train Loss: 0.0217, Train Acc: 0.9945
  Val Loss: 0.6622, Val Acc: 0.8746

Epoch 13/100, Time: 2.75s, LR: 0.002500
  Train Loss: 0.0179, Train Acc: 0.9945
  Val Loss: 0.5020, Val Acc: 0.8914

Epoch 14/100, Time: 2.73s, LR: 0.002500
  Train Loss: 0.0291, Train Acc: 0.9902
  Val Loss: 0.4304, Val Acc: 0.8884

Epoch 15/100, Time: 2.85s, LR: 0.002500
  Train Loss: 0.1448, Train Acc: 0.9567
  Val Loss: 0.5603, Val Acc: 0.8517

Epoch 16/100, Time: 2.80s, LR: 0.002500
  Train Loss: 0.0591, Train Acc: 0.9800
  Val Loss: 0.6987, Val Acc: 0.8746

Epoch 17/100, Time: 2.88s, LR: 0.001250
  Train Loss: 0.0278, Train Acc: 0.9911
  Val Loss: 0.8613, Val Acc: 0.8670

Epoch 18/100, Time: 2.83s, LR: 0.001250
  Train Loss: 0.0158, Train Acc: 0.9960
  Val Loss: 0.8518, Val Acc: 0.8914

Epoch 19/100, Time: 2.83s, LR: 0.001250
  Train Loss: 0.0144, Train Acc: 0.9948
  Val Loss: 0.7293, Val Acc: 0.8930

Epoch 20/100, Time: 2.93s, LR: 0.001250
  Train Loss: 0.0213, Train Acc: 0.9942
  Val Loss: 0.7914, Val Acc: 0.8899

Epoch 21/100, Time: 2.84s, LR: 0.001250
  Train Loss: 0.0097, Train Acc: 0.9969
  Val Loss: 0.8562, Val Acc: 0.8945

Epoch 22/100, Time: 3.34s, LR: 0.001250
  Train Loss: 0.0053, Train Acc: 0.9991
  Val Loss: 0.9130, Val Acc: 0.8884

Epoch 23/100, Time: 3.04s, LR: 0.000625
  Train Loss: 0.0152, Train Acc: 0.9969
  Val Loss: 0.8682, Val Acc: 0.8930

Epoch 24/100, Time: 2.81s, LR: 0.000625
  Train Loss: 0.0103, Train Acc: 0.9982
  Val Loss: 0.8930, Val Acc: 0.8853

Epoch 25/100, Time: 2.77s, LR: 0.000625
  Train Loss: 0.0081, Train Acc: 0.9979
  Val Loss: 0.9682, Val Acc: 0.8930

Epoch 26/100, Time: 2.86s, LR: 0.000625
  Train Loss: 0.0073, Train Acc: 0.9979
  Val Loss: 0.9691, Val Acc: 0.8716

